"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2017","6,244.52","6,244.52","6,244.52","6,244.52","","0.94%"
"12/27/2017","6,186.46","6,186.46","6,186.46","6,186.46","","0.31%"
"12/26/2017","6,167.56","6,167.56","6,167.56","6,167.56","","0.13%"
"12/24/2017","6,159.30","6,159.30","6,159.30","6,159.30","","-0.38%"
"12/21/2017","6,182.78","6,182.78","6,182.78","6,182.78","","-0.22%"
"12/20/2017","6,196.48","6,196.48","6,196.48","6,196.48","","-0.52%"
"12/19/2017","6,228.65","6,228.65","6,228.65","6,228.65","","0.07%"
"12/18/2017","6,224.60","6,224.60","6,224.60","6,224.60","","0.19%"
"12/17/2017","6,213.08","6,213.08","6,213.08","6,213.08","","-0.27%"
"12/14/2017","6,230.01","6,230.01","6,230.01","6,230.01","","0.10%"
"12/13/2017","6,224.07","6,224.07","6,224.07","6,224.07","","-0.44%"
"12/12/2017","6,251.60","6,251.60","6,251.60","6,251.60","","0.89%"
"12/11/2017","6,196.65","6,196.65","6,196.65","6,196.65","","-0.13%"
"12/10/2017","6,204.43","6,204.43","6,204.43","6,204.43","","-0.70%"
"12/07/2017","6,248.22","6,248.22","6,248.22","6,248.22","","-0.29%"
"12/06/2017","6,266.29","6,266.29","6,266.29","6,266.29","","-0.33%"
"12/05/2017","6,286.75","6,286.75","6,286.75","6,286.75","","0.38%"
"12/04/2017","6,262.76","6,262.76","6,262.76","6,262.76","","-0.53%"
"12/03/2017","6,296.20","6,296.20","6,296.20","6,296.20","","-0.17%"
"11/30/2017","6,306.86","6,306.86","6,306.86","6,306.86","","0.45%"
"11/29/2017","6,278.55","6,278.55","6,278.55","6,278.55","","0.10%"
"11/28/2017","6,272.57","6,272.57","6,272.57","6,272.57","","-0.47%"
"11/27/2017","6,302.45","6,302.45","6,302.45","6,302.45","","-0.54%"
"11/26/2017","6,336.88","6,336.88","6,336.88","6,336.88","","0.23%"
"11/23/2017","6,322.51","6,322.51","6,322.51","6,322.51","","0.53%"
"11/22/2017","6,289.33","6,289.33","6,289.33","6,289.33","","0.12%"
