"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2017","263.60","260.46","263.87","260.02","741.44K","1.21%"
"12/27/2017","260.46","261.25","261.94","260.28","301.82K","-0.07%"
"12/26/2017","260.63","262.99","264.39","260.28","421.44K","-0.90%"
"12/24/2017","262.99","262.64","263.78","259.85","283.80K","0.13%"
"12/21/2017","262.64","262.03","264.65","260.28","395.19K","0.37%"
"12/20/2017","261.68","262.21","262.38","261.42","703.72K","-0.27%"
"12/19/2017","262.38","263.17","263.60","261.94","403.98K","-0.20%"
"12/18/2017","262.90","263.08","263.34","262.29","726.80K","-0.07%"
"12/17/2017","263.08","263.43","263.78","262.82","207.06K","-0.23%"
"12/14/2017","263.69","263.95","265.09","263.08","288.69K","-0.13%"
"12/13/2017","264.04","265.53","265.96","262.99","256.77K","-0.59%"
"12/12/2017","265.61","263.95","266.40","263.08","668.77K","0.50%"
"12/11/2017","264.30","266.40","266.75","263.87","466.10K","-0.92%"
"12/10/2017","266.75","268.23","269.54","265.96","255.39K","-1.04%"
"12/07/2017","269.54","271.12","271.99","269.11","258.05K","-0.58%"
"12/06/2017","271.12","267.45","271.81","266.84","1.42M","1.51%"
"12/05/2017","267.10","268.15","268.23","266.75","373.47K","-0.45%"
"12/04/2017","268.32","262.12","268.93","262.03","999.40K","2.13%"
"12/03/2017","262.73","264.56","264.56","262.21","283.76K","-0.33%"
"11/30/2017","263.60","262.99","264.21","262.82","663.59K","0.27%"
"11/29/2017","262.90","263.78","264.65","262.56","366.65K","-0.43%"
"11/28/2017","264.04","266.22","266.22","262.47","445.40K","-0.20%"
"11/27/2017","264.56","266.40","266.84","263.95","546.36K","-0.72%"
"11/26/2017","266.49","269.63","269.80","265.09","519.30K","-0.13%"
"11/23/2017","266.84","267.27","270.42","265.79","709.48K","-0.19%"
"11/22/2017","267.36","265.53","269.89","265.26","1.18M","0.36%"
"11/21/2017","266.40","270.77","270.77","265.96","847.90K","-1.86%"
"11/20/2017","271.46","264.65","271.81","263.78","1.83M","3.08%"
"11/19/2017","263.34","260.98","265.53","259.85","1.00M","1.44%"
"11/16/2017","259.59","257.49","260.28","256.88","1.16M","1.19%"
"11/15/2017","256.53","251.90","258.01","251.90","1.56M","2.66%"
"11/14/2017","249.89","244.39","251.55","242.12","1.42M","3.21%"
"11/13/2017","242.12","241.33","244.56","241.16","783.24K","0.29%"
"11/12/2017","241.42","243.60","243.69","241.16","660.68K","-0.89%"
"11/09/2017","243.60","256.88","256.88","241.42","990.47K","0.92%"
"11/07/2017","241.39","241.31","241.80","240.83","786.54K","0.07%"
"11/06/2017","241.23","240.58","241.31","240.50","476.62K","0.27%"
"11/05/2017","240.58","240.58","241.88","240.42","439.82K","-0.14%"
"11/02/2017","240.91","241.96","241.96","239.93","382.38K","0.27%"
"11/01/2017","240.26","241.72","241.72","239.77","308.01K","-0.57%"
"10/31/2017","241.64","239.77","242.29","239.69","312.26K","0.41%"
"10/30/2017","240.66","239.69","241.48","238.88","536.64K","0.51%"
"10/29/2017","239.44","239.69","241.31","235.63","350.07K","1.10%"
"10/26/2017","236.84","241.31","241.31","236.28","487.98K","-1.12%"
"10/25/2017","239.53","240.74","242.04","239.28","379.35K","-0.64%"
"10/24/2017","241.07","242.94","242.94","240.58","297.95K","-0.27%"
"10/23/2017","241.72","243.02","243.75","241.31","394.93K","-0.77%"
"10/22/2017","243.59","243.10","244.16","241.64","325.67K","0.20%"
"10/19/2017","243.10","241.64","244.56","241.48","395.11K","0.64%"
"10/18/2017","241.56","241.31","242.13","239.93","350.93K","0.34%"
"10/17/2017","240.74","241.39","241.39","237.25","815.23K","-0.24%"
"10/16/2017","241.31","245.21","245.21","239.69","295.97K","-0.80%"
"10/15/2017","243.26","245.38","245.38","238.88","780.13K","-0.47%"
"10/12/2017","244.40","247.49","247.49","243.02","430.94K","-0.73%"
"10/11/2017","246.19","247.33","247.81","244.56","396.90K","-0.46%"
"10/10/2017","247.33","247.24","248.22","246.19","328.44K","-0.03%"
"10/09/2017","247.41","249.52","250.98","247.00","602.04K","-0.78%"
"10/08/2017","249.36","247.81","249.84","246.19","662.60K","0.96%"
"10/05/2017","247.00","245.38","247.81","244.56","344.70K","0.66%"
"10/04/2017","245.38","247.81","247.81","244.64","522.27K","-0.03%"
"10/03/2017","245.46","247.00","247.00","244.97","471.81K","-0.30%"
"10/02/2017","246.19","250.90","250.90","243.99","437.20K","-0.98%"
"09/28/2017","248.63","249.03","250.98","248.06","431.08K","-0.65%"
"09/27/2017","250.25","249.44","251.06","249.03","542.21K","0.10%"
"09/26/2017","250.01","249.44","251.88","248.63","364.44K","0.10%"
"09/25/2017","249.76","252.77","253.50","249.28","626.12K","-1.19%"
"09/24/2017","252.77","247.57","253.91","247.57","398.08K","2.03%"
"09/21/2017","247.73","247.33","249.36","246.27","376.49K","0.10%"
"09/20/2017","247.49","250.82","250.82","246.27","612.61K","-1.33%"
"09/19/2017","250.82","251.06","253.50","250.58","472.55K","-0.03%"
"09/18/2017","250.90","254.96","255.78","250.25","592.41K","-1.66%"
"09/17/2017","255.13","257.56","257.56","251.96","695.59K","-0.38%"
"09/14/2017","256.10","249.36","259.84","249.36","1.25M","2.64%"
"09/13/2017","249.52","244.97","250.82","244.24","1.01M","1.69%"
"09/12/2017","245.38","245.54","248.22","244.64","714.79K","0.00%"
"09/11/2017","245.38","242.69","249.36","242.69","1.29M","1.11%"
"09/10/2017","242.69","237.25","244.40","237.09","1.46M","2.57%"
"09/07/2017","236.60","233.68","237.17","233.43","1.50M","1.32%"
"09/06/2017","233.51","234.81","235.63","232.62","295.37K","-0.55%"
"09/05/2017","234.81","235.46","237.17","233.19","491.09K","-0.28%"
"09/04/2017","235.46","233.19","235.63","232.62","488.95K","1.29%"
"08/31/2017","232.46","230.75","233.03","230.75","558.11K","0.74%"
"08/30/2017","230.75","230.26","230.91","229.61","167.57K","0.78%"
"08/29/2017","228.96","228.48","229.13","228.23","227.22K","0.07%"
"08/28/2017","228.80","229.86","229.86","228.56","487.99K","-0.28%"
"08/27/2017","229.45","228.72","230.18","227.74","218.11K","0.46%"
"08/24/2017","228.39","228.31","229.13","227.58","150.28K","-0.14%"
"08/23/2017","228.72","228.31","229.04","227.18","204.16K","0.64%"
"08/22/2017","227.26","227.91","228.31","226.69","283.31K","-0.21%"
"08/21/2017","227.74","227.34","228.48","226.28","253.34K","0.18%"
"08/20/2017","227.34","227.74","229.04","227.18","303.66K","-0.18%"
"08/17/2017","227.74","228.72","228.72","227.58","428.13K","-0.57%"
"08/16/2017","229.04","229.94","229.94","228.39","213.90K","-0.32%"
"08/13/2017","229.78","230.75","230.75","229.21","210.84K","-0.10%"
"08/10/2017","230.02","230.10","230.67","229.13","196.58K","0.10%"
"08/09/2017","229.78","230.83","230.83","228.72","325.30K","0.39%"
"08/08/2017","228.88","228.72","229.13","228.72","317.80K","0.03%"
"08/07/2017","228.80","229.61","229.94","228.56","688.56K","-0.43%"
"08/06/2017","229.78","228.96","230.83","228.72","182.94K","0.32%"
"08/03/2017","229.04","229.69","229.94","228.96","732.15K","-0.28%"
"08/02/2017","229.69","229.94","230.18","229.29","291.58K","-0.18%"
"08/01/2017","230.10","229.53","230.18","229.53","200.79K","0.14%"
"07/31/2017","229.78","232.13","232.13","229.21","626.00K","-0.39%"
"07/30/2017","230.67","229.94","231.56","229.13","174.83K","0.46%"
"07/27/2017","229.61","229.21","230.18","229.21","246.34K","0.21%"
"07/26/2017","229.13","229.13","229.86","228.96","392.99K","-0.07%"
"07/25/2017","229.29","229.69","231.24","228.80","453.54K","-0.17%"
"07/24/2017","229.69","230.43","230.43","229.29","1.01M","-0.28%"
"07/23/2017","230.34","230.59","232.13","230.02","191.32K","-0.11%"
"07/20/2017","230.59","232.13","232.21","230.02","168.51K","0.14%"
"07/19/2017","230.26","232.21","232.21","229.37","350.79K","-0.67%"
"07/18/2017","231.81","231.97","233.11","231.56","129.01K","0.21%"
"07/17/2017","231.32","232.13","233.84","230.75","466.92K","-0.21%"
"07/16/2017","231.81","232.94","234.33","231.40","481.65K","-0.49%"
